Category,Cargo,Figures,Month
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.016,11/1/2024
Total Imports & Exports / Million Tons,Total Cargo,4.375,11/1/2024
Total TEU(s) in Millions,Imports,0.097,11/1/2024
Total TEU(s) in Millions,Exports,0.09,11/1/2024
Imports / Million Tons,Bulk Cargo,0.13,12/1/2024
Imports / Million Tons,General Cargo,1.921,12/1/2024
Imports / Million Tons,Total Dry Cargo,2.05,12/1/2024
Imports / Million Tons,Total Liquid Cargo,1.076,12/1/2024
Imports / Million Tons,Total Cargo,3.127,12/1/2024
Exports / Million Tons,Bulk Cargo,0.584,12/1/2024
Exports / Million Tons,General Cargo,1.167,12/1/2024
Exports / Million Tons,Total Dry Cargo,1.751,12/1/2024
Exports / Million Tons,Total Liquid Cargo,0.132,12/1/2024
Exports / Million Tons,Total Cargo,1.883,12/1/2024
Total Imports & Exports / Million Tons,Bulk Cargo,0.713,12/1/2024
Total Imports & Exports / Million Tons,General Cargo,3.088,12/1/2024
Total Imports & Exports / Million Tons,Total Dry Cargo,3.801,12/1/2024
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.208,12/1/2024
Total Imports & Exports / Million Tons,Total Cargo,5.01,12/1/2024
Total TEU(s) in Millions,Imports,0.131,12/1/2024
Total TEU(s) in Millions,Exports,0.116,12/1/2024
Imports / Million Tons,Bulk Cargo,0.098,1/1/2025
Imports / Million Tons,General Cargo,1.985,1/1/2025
Imports / Million Tons,Total Dry Cargo,2.083,1/1/2025
Imports / Million Tons,Total Liquid Cargo,0.991,1/1/2025
Imports / Million Tons,Total Cargo,3.074,1/1/2025
Exports / Million Tons,Bulk Cargo,0.512,1/1/2025
Exports / Million Tons,General Cargo,1.071,1/1/2025
Exports / Million Tons,Total Dry Cargo,1.583,1/1/2025
Exports / Million Tons,Total Liquid Cargo,0.117,1/1/2025
Exports / Million Tons,Total Cargo,1.7,1/1/2025
Total Imports & Exports / Million Tons,Bulk Cargo,0.61,1/1/2025
Total Imports & Exports / Million Tons,General Cargo,3.056,1/1/2025
Total Imports & Exports / Million Tons,Total Dry Cargo,3.666,1/1/2025
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.108,1/1/2025
Total Imports & Exports / Million Tons,Total Cargo,4.774,1/1/2025
Total TEU(s) in Millions,Imports,0.127,1/1/2025
Total TEU(s) in Millions,Exports,0.118,1/1/2025
Imports / Million Tons,Bulk Cargo,0.08,2/1/2025
Imports / Million Tons,General Cargo,1.904,2/1/2025
Imports / Million Tons,Total Dry Cargo,1.984,2/1/2025
Imports / Million Tons,Total Liquid Cargo,0.836,2/1/2025
Imports / Million Tons,Total Cargo,2.821,2/1/2025
Exports / Million Tons,Bulk Cargo,0.364,2/1/2025
Exports / Million Tons,General Cargo,0.982,2/1/2025
Exports / Million Tons,Total Dry Cargo,1.346,2/1/2025
Exports / Million Tons,Total Liquid Cargo,0.102,2/1/2025
Exports / Million Tons,Total Cargo,1.448,2/1/2025
Total Imports & Exports / Million Tons,Bulk Cargo,0.445,2/1/2025
Total Imports & Exports / Million Tons,General Cargo,2.886,2/1/2025
Total Imports & Exports / Million Tons,Total Dry Cargo,3.331,2/1/2025
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.938,2/1/2025
Total Imports & Exports / Million Tons,Total Cargo,4.269,2/1/2025
Total TEU(s) in Millions,Imports,0.109,2/1/2025
Total TEU(s) in Millions,Exports,0.109,2/1/2025
Imports / Million Tons,Bulk Cargo,0.053,3/1/2025
Imports / Million Tons,General Cargo,1.991,3/1/2025
Imports / Million Tons,Total Dry Cargo,2.044,3/1/2025
Imports / Million Tons,Total Liquid Cargo,0.985,3/1/2025
Imports / Million Tons,Total Cargo,3.029,3/1/2025
Exports / Million Tons,Bulk Cargo,0.489,3/1/2025
Exports / Million Tons,General Cargo,1.124,3/1/2025
Exports / Million Tons,Total Dry Cargo,1.613,3/1/2025
Exports / Million Tons,Total Liquid Cargo,0.117,3/1/2025
Exports / Million Tons,Total Cargo,1.73,3/1/2025
Total Imports & Exports / Million Tons,Bulk Cargo,0.542,3/1/2025
Total Imports & Exports / Million Tons,General Cargo,3.115,3/1/2025
Total Imports & Exports / Million Tons,Total Dry Cargo,3.657,3/1/2025
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.102,3/1/2025
Total Imports & Exports / Million Tons,Total Cargo,4.759,3/1/2025
Total TEU(s) in Millions,Imports,0.116,3/1/2025
Total TEU(s) in Millions,Exports,0.116,3/1/2025
Imports / Million Tons,Bulk Cargo,0.022,4/1/2025
Imports / Million Tons,General Cargo,2.117,4/1/2025
Imports / Million Tons,Total Dry Cargo,2.139,4/1/2025
Imports / Million Tons,Total Liquid Cargo,0.926,4/1/2025
Imports / Million Tons,Total Cargo,3.065,4/1/2025
Exports / Million Tons,Bulk Cargo,0.648,4/1/2025
Exports / Million Tons,General Cargo,0.799,4/1/2025
Exports / Million Tons,Total Dry Cargo,1.447,4/1/2025
Exports / Million Tons,Total Liquid Cargo,0.094,4/1/2025
Exports / Million Tons,Total Cargo,1.541,4/1/2025
Total Imports & Exports / Million Tons,Bulk Cargo,0.67,4/1/2025
Total Imports & Exports / Million Tons,General Cargo,2.916,4/1/2025
Total Imports & Exports / Million Tons,Total Dry Cargo,3.585,4/1/2025
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.02,4/1/2025
Total Imports & Exports / Million Tons,Total Cargo,4.606,4/1/2025
Total TEU(s) in Millions,Imports,0.134,4/1/2025
Total TEU(s) in Millions,Exports,0.1,4/1/2025
Imports / Million Tons,Bulk Cargo,0.183,5/1/2025
Imports / Million Tons,General Cargo,1.641,5/1/2025
Imports / Million Tons,Total Dry Cargo,1.824,5/1/2025
Imports / Million Tons,Total Liquid Cargo,0.961,5/1/2025
Imports / Million Tons,Total Cargo,2.785,5/1/2025
Exports / Million Tons,Bulk Cargo,0.655,5/1/2025
Exports / Million Tons,General Cargo,0.865,5/1/2025
Exports / Million Tons,Total Dry Cargo,1.52,5/1/2025
Exports / Million Tons,Total Liquid Cargo,0.077,5/1/2025
Exports / Million Tons,Total Cargo,1.597,5/1/2025
Total Imports & Exports / Million Tons,Bulk Cargo,0.839,5/1/2025
Total Imports & Exports / Million Tons,General Cargo,2.506,5/1/2025
Total Imports & Exports / Million Tons,Total Dry Cargo,3.344,5/1/2025
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.038,5/1/2025
Total Imports & Exports / Million Tons,Total Cargo,4.383,5/1/2025
Total TEU(s) in Millions,Imports,0.103,5/1/2025
Total TEU(s) in Millions,Exports,0.1,5/1/2025
Imports / Million Tons,Bulk Cargo,0.213,6/1/2025
Imports / Million Tons,General Cargo,1.76,6/1/2025
Imports / Million Tons,Total Dry Cargo,1.973,6/1/2025
Imports / Million Tons,Total Liquid Cargo,0.962,6/1/2025
Imports / Million Tons,Total Cargo,2.936,6/1/2025
Exports / Million Tons,Bulk Cargo,0.573,6/1/2025
Exports / Million Tons,General Cargo,1.007,6/1/2025
Exports / Million Tons,Total Dry Cargo,1.58,6/1/2025
Exports / Million Tons,Total Liquid Cargo,0.072,6/1/2025
Exports / Million Tons,Total Cargo,1.653,6/1/2025
Total Imports & Exports / Million Tons,Bulk Cargo,0.786,6/1/2025
Total Imports & Exports / Million Tons,General Cargo,2.768,6/1/2025
Total Imports & Exports / Million Tons,Total Dry Cargo,3.553,6/1/2025
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.035,6/1/2025
Total Imports & Exports / Million Tons,Total Cargo,4.588,6/1/2025
Total TEU(s) in Millions,Imports,0.121,6/1/2025
Total TEU(s) in Millions,Exports,0.122,6/1/2025
Imports / Million Tons,Bulk Cargo,0.099,7/1/2025
Imports / Million Tons,General Cargo,1.845,7/1/2025
Imports / Million Tons,Total Dry Cargo,1.944,7/1/2025
Imports / Million Tons,Total Liquid Cargo,1.028,7/1/2025
Imports / Million Tons,Total Cargo,2.972,7/1/2025
Exports / Million Tons,Bulk Cargo,0.636,7/1/2025
Exports / Million Tons,General Cargo,1.065,7/1/2025
Exports / Million Tons,Total Dry Cargo,1.702,7/1/2025
Exports / Million Tons,Total Liquid Cargo,0.052,7/1/2025
Exports / Million Tons,Total Cargo,1.753,7/1/2025
Total Imports & Exports / Million Tons,Bulk Cargo,0.735,7/1/2025
Total Imports & Exports / Million Tons,General Cargo,2.91,7/1/2025
Total Imports & Exports / Million Tons,Total Dry Cargo,3.645,7/1/2025
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.08,7/1/2025
Total Imports & Exports / Million Tons,Total Cargo,4.725,7/1/2025
Total TEU(s) in Millions,Imports,0.127,7/1/2025
Total TEU(s) in Millions,Exports,0.124,7/1/2025
Imports / Million Tons,Bulk Cargo,0.164,8/1/2025
Imports / Million Tons,General Cargo,1.88,8/1/2025
Imports / Million Tons,Total Dry Cargo,2.045,8/1/2025
Imports / Million Tons,Total Liquid Cargo,1.028,8/1/2025
Imports / Million Tons,Total Cargo,3.073,8/1/2025
Exports / Million Tons,Bulk Cargo,0.493,8/1/2025
Exports / Million Tons,General Cargo,0.962,8/1/2025
Exports / Million Tons,Total Dry Cargo,1.455,8/1/2025
Exports / Million Tons,Total Liquid Cargo,0.086,8/1/2025
Exports / Million Tons,Total Cargo,1.542,8/1/2025
Total Imports & Exports / Million Tons,Bulk Cargo,0.658,8/1/2025
Total Imports & Exports / Million Tons,General Cargo,2.842,8/1/2025
Total Imports & Exports / Million Tons,Total Dry Cargo,3.5,8/1/2025
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.114,8/1/2025
Total Imports & Exports / Million Tons,Total Cargo,4.614,8/1/2025
Total TEU(s) in Millions,Imports,0.115,8/1/2025
Total TEU(s) in Millions,Exports,0.115,8/1/2025
Imports / Million Tons,Bulk Cargo,0.072,9/1/2025
Imports / Million Tons,General Cargo,1.877,9/1/2025
Imports / Million Tons,Total Dry Cargo,1.949,9/1/2025
Imports / Million Tons,Total Liquid Cargo,1.012,9/1/2025
Imports / Million Tons,Total Cargo,2.961,9/1/2025
Exports / Million Tons,Bulk Cargo,0.423,9/1/2025
Exports / Million Tons,General Cargo,0.915,9/1/2025
Exports / Million Tons,Total Dry Cargo,1.338,9/1/2025
Exports / Million Tons,Total Liquid Cargo,0.065,9/1/2025
Exports / Million Tons,Total Cargo,1.403,9/1/2025
Total Imports & Exports / Million Tons,Bulk Cargo,0.495,9/1/2025
Total Imports & Exports / Million Tons,General Cargo,2.792,9/1/2025
Total Imports & Exports / Million Tons,Total Dry Cargo,3.287,9/1/2025
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.077,9/1/2025
Total Imports & Exports / Million Tons,Total Cargo,4.364,9/1/2025
Total TEU(s) in Millions,Imports,0.125,9/1/2025
Total TEU(s) in Millions,Exports,0.113,9/1/2025
Imports / Million Tons,Bulk Cargo,0.254,10/1/2025
Imports / Million Tons,General Cargo,1.974,10/1/2025
Imports / Million Tons,Total Dry Cargo,2.228,10/1/2025
Imports / Million Tons,Total Liquid Cargo,0.946,10/1/2025
Imports / Million Tons,Total Cargo,3.175,10/1/2025
Exports / Million Tons,Bulk Cargo,0.557,10/1/2025
Exports / Million Tons,General Cargo,1.011,10/1/2025
Exports / Million Tons,Total Dry Cargo,1.569,10/1/2025
Exports / Million Tons,Total Liquid Cargo,0.14,10/1/2025
Exports / Million Tons,Total Cargo,1.708,10/1/2025
Total Imports & Exports / Million Tons,Bulk Cargo,0.811,10/1/2025
Total Imports & Exports / Million Tons,General Cargo,2.986,10/1/2025
Total Imports & Exports / Million Tons,Total Dry Cargo,3.797,10/1/2025
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.086,10/1/2025
Total Imports & Exports / Million Tons,Total Cargo,4.883,10/1/2025
Total TEU(s) in Millions,Imports,0.124,10/1/2025
Total TEU(s) in Millions,Exports,0.127,10/1/2025
Imports / Million Tons,Bulk Cargo,0.215,11/1/2025
Imports / Million Tons,General Cargo,1.764,11/1/2025
Imports / Million Tons,Total Dry Cargo,1.979,11/1/2025
Imports / Million Tons,Total Liquid Cargo,1.12,11/1/2025
Imports / Million Tons,Total Cargo,3.1,11/1/2025
Exports / Million Tons,Bulk Cargo,0.343,11/1/2025
Exports / Million Tons,General Cargo,1.012,11/1/2025
Exports / Million Tons,Total Dry Cargo,1.356,11/1/2025
Exports / Million Tons,Total Liquid Cargo,0.128,11/1/2025
Exports / Million Tons,Total Cargo,1.483,11/1/2025
Total Imports & Exports / Million Tons,Bulk Cargo,0.558,11/1/2025
Total Imports & Exports / Million Tons,General Cargo,2.777,11/1/2025
Total Imports & Exports / Million Tons,Total Dry Cargo,3.335,11/1/2025
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.248,11/1/2025
Total Imports & Exports / Million Tons,Total Cargo,4.583,11/1/2025
Total TEU(s) in Millions,Imports,0.117,11/1/2025
Total TEU(s) in Millions,Exports,0.116,11/1/2025
Imports / Million Tons,Bulk Cargo,0.19,12/1/2025
Imports / Million Tons,General Cargo,1.774,12/1/2025
Imports / Million Tons,Total Dry Cargo,1.964,12/1/2025
Imports / Million Tons,Total Liquid Cargo,1.093,12/1/2025
Imports / Million Tons,Total Cargo,3.058,12/1/2025
Exports / Million Tons,Bulk Cargo,0.595,12/1/2025
Exports / Million Tons,General Cargo,0.91,12/1/2025
Exports / Million Tons,Total Dry Cargo,1.505,12/1/2025
Exports / Million Tons,Total Liquid Cargo,0.126,12/1/2025
Exports / Million Tons,Total Cargo,1.631,12/1/2025
Total Imports & Exports / Million Tons,Bulk Cargo,0.785,12/1/2025
Total Imports & Exports / Million Tons,General Cargo,2.684,12/1/2025
Total Imports & Exports / Million Tons,Total Dry Cargo,3.469,12/1/2025
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.219,12/1/2025
Total Imports & Exports / Million Tons,Total Cargo,4.688,12/1/2025
Total TEU(s) in Millions,Imports,0.116,12/1/2025
Total TEU(s) in Millions,Exports,0.098,12/1/2025
Imports / Million Tons,Bulk Cargo,0.278,1/1/2026
Imports / Million Tons,General Cargo,1.906,1/1/2026
Imports / Million Tons,Total Dry Cargo,2.184,1/1/2026
Imports / Million Tons,Total Liquid Cargo,1.091,1/1/2026
Imports / Million Tons,Total Cargo,3.275,1/1/2026
Exports / Million Tons,Bulk Cargo,0.73,1/1/2026
Exports / Million Tons,General Cargo,1.083,1/1/2026
Exports / Million Tons,Total Dry Cargo,1.813,1/1/2026
Exports / Million Tons,Total Liquid Cargo,0.143,1/1/2026
Exports / Million Tons,Total Cargo,1.956,1/1/2026
Total Imports & Exports / Million Tons,Bulk Cargo,1.008,1/1/2026
Total Imports & Exports / Million Tons,General Cargo,2.989,1/1/2026
Total Imports & Exports / Million Tons,Total Dry Cargo,3.997,1/1/2026
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.234,1/1/2026
Total Imports & Exports / Million Tons,Total Cargo,5.23,1/1/2026
Total TEU(s) in Millions,Imports,0.119,1/1/2026
Total TEU(s) in Millions,Exports,0.117,1/1/2026
Imports / Million Tons,Bulk Cargo,0.239,2/1/2026
Imports / Million Tons,General Cargo,1.758,2/1/2026
Imports / Million Tons,Total Dry Cargo,1.996,2/1/2026
Imports / Million Tons,Total Liquid Cargo,0.994,2/1/2026
Imports / Million Tons,Total Cargo,2.991,2/1/2026
Exports / Million Tons,Bulk Cargo,0.635,2/1/2026
Exports / Million Tons,General Cargo,1.091,2/1/2026
Exports / Million Tons,Total Dry Cargo,1.725,2/1/2026
Exports / Million Tons,Total Liquid Cargo,0.171,2/1/2026
Exports / Million Tons,Total Cargo,1.896,2/1/2026
Total Imports & Exports / Million Tons,Bulk Cargo,0.874,2/1/2026
Total Imports & Exports / Million Tons,General Cargo,2.848,2/1/2026
Total Imports & Exports / Million Tons,Total Dry Cargo,3.722,2/1/2026
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.165,2/1/2026
Total Imports & Exports / Million Tons,Total Cargo,4.887,2/1/2026
Total TEU(s) in Millions,Imports,0.116,2/1/2026
Total TEU(s) in Millions,Exports,0.111,2/1/2026
Imports / Million Tons,Bulk Cargo,0.213,3/1/2026
Imports / Million Tons,General Cargo,1.57,3/1/2026
Imports / Million Tons,Total Dry Cargo,1.783,3/1/2026
Imports / Million Tons,Total Liquid Cargo,0.818,3/1/2026
Imports / Million Tons,Total Cargo,2.601,3/1/2026
Exports / Million Tons,Bulk Cargo,0.553,3/1/2026
Exports / Million Tons,General Cargo,0.831,3/1/2026
Exports / Million Tons,Total Dry Cargo,1.384,3/1/2026
Exports / Million Tons,Total Liquid Cargo,0.104,3/1/2026
Exports / Million Tons,Total Cargo,1.487,3/1/2026
Total Imports & Exports / Million Tons,Bulk Cargo,0.766,3/1/2026
Total Imports & Exports / Million Tons,General Cargo,2.4,3/1/2026
Total Imports & Exports / Million Tons,Total Dry Cargo,3.167,3/1/2026
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.922,3/1/2026
Total Imports & Exports / Million Tons,Total Cargo,4.089,3/1/2026
Total TEU(s) in Millions,Imports,0.109,3/1/2026
Total TEU(s) in Millions,Exports,0.096,3/1/2026
Imports / Million Tons,Bulk Cargo,0.215,4/1/2026
Imports / Million Tons,General Cargo,1.623,4/1/2026
Imports / Million Tons,Total Dry Cargo,1.838,4/1/2026
Imports / Million Tons,Total Liquid Cargo,1.117,4/1/2026
Imports / Million Tons,Total Cargo,2.955,4/1/2026
Exports / Million Tons,Bulk Cargo,0.475,4/1/2026
Exports / Million Tons,General Cargo,0.851,4/1/2026
Exports / Million Tons,Total Dry Cargo,1.326,4/1/2026
Exports / Million Tons,Total Liquid Cargo,0.198,4/1/2026
Exports / Million Tons,Total Cargo,1.524,4/1/2026
Total Imports & Exports / Million Tons,Bulk Cargo,0.69,4/1/2026
Total Imports & Exports / Million Tons,General Cargo,2.474,4/1/2026
Total Imports & Exports / Million Tons,Total Dry Cargo,3.165,4/1/2026
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.314,4/1/2026
Total Imports & Exports / Million Tons,Total Cargo,4.479,4/1/2026
Total TEU(s) in Millions,Imports,0.111,4/1/2026
Total TEU(s) in Millions,Exports,0.1,4/1/2026
Imports / Million Tons,Bulk Cargo,0.126,5/1/2026
Imports / Million Tons,General Cargo,1.676,5/1/2026
Imports / Million Tons,Total Dry Cargo,1.802,5/1/2026
Imports / Million Tons,Total Liquid Cargo,0.818,5/1/2026
Imports / Million Tons,Total Cargo,2.62,5/1/2026
Exports / Million Tons,Bulk Cargo,0.532,5/1/2026
Exports / Million Tons,General Cargo,0.896,5/1/2026
Exports / Million Tons,Total Dry Cargo,1.429,5/1/2026
Exports / Million Tons,Total Liquid Cargo,0.13,5/1/2026
Exports / Million Tons,Total Cargo,1.558,5/1/2026
Total Imports & Exports / Million Tons,Bulk Cargo,0.659,5/1/2026
Total Imports & Exports / Million Tons,General Cargo,2.572,5/1/2026
Total Imports & Exports / Million Tons,Total Dry Cargo,3.231,5/1/2026
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.948,5/1/2026
Total Imports & Exports / Million Tons,Total Cargo,4.178,5/1/2026
Total TEU(s) in Millions,Imports,0.12,5/1/2026
Total TEU(s) in Millions,Exports,0.104,5/1/2026
Imports / Million Tons,Bulk Cargo,0.258,6/26/2026
Imports / Million Tons,General Cargo,2.005,6/26/2026
Imports / Million Tons,Total Dry Cargo,2.263,6/26/2026
Imports / Million Tons,Total Liquid Cargo,0.883,6/26/2026
Imports / Million Tons,Total Cargo,3.146,6/26/2026
Exports / Million Tons,Bulk Cargo,0.625,6/26/2026
Exports / Million Tons,General Cargo,0.897,6/26/2026
Exports / Million Tons,Total Dry Cargo,1.522,6/26/2026
Exports / Million Tons,Total Liquid Cargo,0.081,6/26/2026
Exports / Million Tons,Total Cargo,1.603,6/26/2026
Total Imports & Exports / Million Tons,Bulk Cargo,0.883,6/26/2026
Total Imports & Exports / Million Tons,General Cargo,2.902,6/26/2026
Total Imports & Exports / Million Tons,Total Dry Cargo,3.785,6/26/2026
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.964,6/26/2026
Total Imports & Exports / Million Tons,Total Cargo,4.749,6/26/2026
Total TEU(s) in Millions,Imports,0.125,6/26/2026
Total TEU(s) in Millions,Exports,0.106,6/26/2026
Imports / Million Tons,Bulk Cargo,0.079,7/1/2026
Imports / Million Tons,General Cargo,2.023,7/1/2026
Imports / Million Tons,Total Dry Cargo,2.102,7/1/2026
Imports / Million Tons,Total Liquid Cargo,0.921,7/1/2026
Imports / Million Tons,Total Cargo,3.023,7/1/2026
Exports / Million Tons,Bulk Cargo,0.682,7/1/2026
Exports / Million Tons,General Cargo,1.028,7/1/2026
Exports / Million Tons,Total Dry Cargo,1.711,7/1/2026
Exports / Million Tons,Total Liquid Cargo,0.164,7/1/2026
Exports / Million Tons,Total Cargo,1.875,7/1/2026
Total Imports & Exports / Million Tons,Bulk Cargo,0.762,7/1/2026
Total Imports & Exports / Million Tons,General Cargo,3.052,7/1/2026
Total Imports & Exports / Million Tons,Total Dry Cargo,3.813,7/1/2026
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.085,7/1/2026
Total Imports & Exports / Million Tons,Total Cargo,4.899,7/1/2026
Total TEU(s) in Millions,Imports,0.132,7/1/2026
Total TEU(s) in Millions,Exports,0.122,7/1/2026
Imports / Million Tons,Bulk Cargo,0.227,8/1/2026
Imports / Million Tons,General Cargo,1.594,8/1/2026
Imports / Million Tons,Total Dry Cargo,1.82,8/1/2026
Imports / Million Tons,Total Liquid Cargo,1.096,8/1/2026
Imports / Million Tons,Total Cargo,2.916,8/1/2026
Exports / Million Tons,Bulk Cargo,0.582,8/1/2026
Exports / Million Tons,General Cargo,0.846,8/1/2026
Exports / Million Tons,Total Dry Cargo,1.428,8/1/2026
Exports / Million Tons,Total Liquid Cargo,0.11,8/1/2026
Exports / Million Tons,Total Cargo,1.538,8/1/2026
Total Imports & Exports / Million Tons,Bulk Cargo,0.809,8/1/2026
Total Imports & Exports / Million Tons,General Cargo,2.44,8/1/2026
Total Imports & Exports / Million Tons,Total Dry Cargo,3.249,8/1/2026
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.206,8/1/2026
Total Imports & Exports / Million Tons,Total Cargo,4.455,8/1/2026
Total TEU(s) in Millions,Imports,0.106,8/1/2026
Total TEU(s) in Millions,Exports,0.099,8/1/2026
